Inertia & Solar,inertia,solar,freq,Demand & Trans,demand,trans,freq,Demand & Storage,demand,storage,freq,Demand & Inertia,demand,inertia,freq,Demand & Solar,demand,solar,freq,Trans & Storage,trans,storage,freq,Trans & Inertia,trans,inertia,freq,Trans & Solar,trans,solar,freq,Storage & Inertia,storage,inertia,freq,Storage & Solar,storage,solar,freq
,0.0,1.0,0.218736812888473,,0.98,1000,0.175200079277062,,0.98,0.0,0.175200079277062,,0.98,0.0,0.175200079277062,,0.98,1.0,0.175200079277062,,1000,0.0,0.218736812888473,,1000,0.0,0.218736812888473,,1000,1.0,0.218736812888473,,0.0,0.0,0.218736812888473,,0.0,1.0,0.218736812888473
,0.0,1.0125,0.196225900677852,,0.98,2000,0.194022955496251,,0.98,0.0125,0.153328601857119,,0.98,0.25,0.153509087993328,,0.98,1.0125,0.152165109385493,,1000,0.0125,0.191128334759064,,1000,0.25,0.181119340501297,,1000,1.0125,0.196225900677852,,0.0,0.25,0.181119340501297,,0.0,1.0125,0.196225900677852
,0.0,1.025,0.17576442990989,,0.98,3000,0.210034341226311,,0.98,0.025,0.153328601857119,,0.98,0.5,0.153322945190638,,0.98,1.025,0.152149682014688,,1000,0.025,0.16284293755848,,1000,0.5,0.166269402290226,,1000,1.025,0.17576442990989,,0.0,0.5,0.166269402290226,,0.0,1.025,0.17576442990989
,0.0,1.0375,0.152134832123487,,0.98,4000,0.216178341935446,,0.98,0.0375,0.153328601857119,,0.98,0.75,0.152628644918934,,0.98,1.0375,0.152134832126258,,1000,0.0375,0.153328601857154,,1000,0.75,0.164417203669487,,1000,1.0375,0.152134832123487,,0.0,0.75,0.164417203669487,,0.0,1.0375,0.152134832123487
,0.0,1.05,0.152120540700849,,0.98,5000,0.217891543257458,,0.98,0.05,0.153328601857119,,0.98,1.0,0.152656519291554,,0.98,1.05,0.152120540701027,,1000,0.05,0.153328601857154,,1000,1.0,0.163214138580521,,1000,1.05,0.152120540700849,,0.0,1.0,0.163214138580521,,0.0,1.05,0.152120540700849
,0.25,1.0,0.181119340501297,,0.985,1000,0.186341177766181,,0.985,0.0,0.186341177766181,,0.985,0.0,0.186341177766181,,0.985,1.0,0.186341177766181,,2000,0.0,0.239369440163713,,2000,0.0,0.239369440163713,,2000,1.0,0.239369440163713,,0.0125,0.0,0.191128334759064,,0.0125,1.0,0.191128334759064
,0.25,1.0125,0.163122152680813,,0.985,2000,0.205659044868959,,0.985,0.0125,0.157669767215545,,0.985,0.25,0.155365828125426,,0.985,1.0125,0.163396437030912,,2000,0.0125,0.210670992103658,,2000,0.25,0.197390847143176,,2000,1.0125,0.216143474121694,,0.0125,0.25,0.158862543770375,,0.0125,1.0125,0.168419793776486
,0.25,1.025,0.152364231280963,,0.985,3000,0.221461663275981,,0.985,0.025,0.153328601857119,,0.985,0.5,0.154526362627372,,0.985,1.025,0.152149682014688,,2000,0.025,0.181220627651541,,2000,0.5,0.17031612780081,,2000,1.025,0.194219388904806,,0.0125,0.5,0.154550722451937,,0.0125,1.025,0.152149682009934
,0.25,1.0375,0.15230722395173,,0.985,4000,0.22732684249506,,0.985,0.0375,0.153328601857119,,0.985,0.75,0.153421141749007,,0.985,1.0375,0.152134832126258,,2000,0.0375,0.151005182317363,,2000,0.75,0.153642745990368,,2000,1.0375,0.176750683509226,,0.0125,0.75,0.153453276995343,,0.0125,1.0375,0.152134832123487
,0.25,1.05,0.152289049463519,,0.985,5000,0.228862013197165,,0.985,0.05,0.153328601857119,,0.985,1.0,0.153017418848648,,0.985,1.05,0.152120540701027,,2000,0.05,0.139751364203924,,2000,1.0,0.152418045105044,,2000,1.05,0.150687127506259,,0.0125,1.0,0.153054548295131,,0.0125,1.05,0.152120540700849
,0.5,1.0,0.166269402290226,,0.99,1000,0.197309028442369,,0.99,0.0,0.197309028442369,,0.99,0.0,0.197309028442369,,0.99,1.0,0.197309028442369,,3000,0.0,0.261860552254007,,3000,0.0,0.261860552254007,,3000,1.0,0.261860552254007,,0.025,0.0,0.16284293755848,,0.025,1.0,0.16284293755848
,0.5,1.0125,0.156439857207801,,0.99,2000,0.217093429363679,,0.99,0.0125,0.168997138495442,,0.99,0.25,0.16383030888769,,0.99,1.0125,0.174494032563601,,3000,0.0125,0.226088133159223,,3000,0.25,0.220933183584606,,3000,1.0125,0.231664857739482,,0.025,0.25,0.15350908799202,,0.025,1.0125,0.152165109384804
,0.5,1.025,0.152485789831339,,0.99,3000,0.232677601283839,,0.99,0.025,0.153328601857119,,0.99,0.5,0.157418131081734,,0.99,1.025,0.153081778116928,,3000,0.025,0.196859209954525,,3000,0.5,0.191416132134144,,3000,1.025,0.209540578170142,,0.025,0.5,0.153322945192457,,0.025,1.025,0.152149682009934
,0.5,1.0375,0.152466687381512,,0.99,4000,0.238224421015573,,0.99,0.0375,0.153328601857119,,0.99,0.75,0.156039903459252,,0.99,1.0375,0.152134832126258,,3000,0.0375,0.166832794700028,,3000,0.75,0.16894907578164,,3000,1.0375,0.19322542037709,,0.025,0.75,0.152628644916838,,0.025,1.0375,0.152134832123487
,0.5,1.05,0.152447936106626,,0.99,5000,0.239570360555923,,0.99,0.05,0.153328601857119,,0.99,1.0,0.155340165701595,,0.99,1.05,0.152120540701027,,3000,0.05,0.137399949355363,,3000,1.0,0.155219549028949,,3000,1.05,0.170364238413349,,0.025,1.0,0.152656519286182,,0.025,1.05,0.152120540700849
,0.75,1.0,0.164417203669487,,0.995,1000,0.20810852119002,,0.995,0.0,0.20810852119002,,0.995,0.0,0.20810852119002,,0.995,1.0,0.20810852119002,,4000,0.0,0.273177151181059,,4000,0.0,0.273177151181059,,4000,1.0,0.273177151181059,,0.0375,0.0,0.153328601857154,,0.0375,1.0,0.153328601857154
,0.75,1.0125,0.155559989834671,,0.995,2000,0.228328327492868,,0.995,0.0125,0.180148267959517,,0.995,0.25,0.172551730042613,,0.995,1.0125,0.185415859373634,,4000,0.0125,0.231677712183355,,4000,0.25,0.231236591541482,,4000,1.0125,0.237188842918492,,0.0375,0.25,0.15350908799202,,0.0375,1.0125,0.152165109384804
,0.75,1.025,0.152589215255645,,0.995,3000,0.243676457111199,,0.995,0.025,0.153328601857119,,0.995,0.5,0.161370078447113,,0.995,1.025,0.164702143384311,,4000,0.025,0.202966418580438,,4000,0.5,0.200877492238192,,4000,1.025,0.215465345714392,,0.0375,0.5,0.153322945192457,,0.0375,1.025,0.152149682009934
,0.75,1.0375,0.152571891944362,,0.995,4000,0.251603262943945,,0.995,0.0375,0.153328601857119,,0.995,0.75,0.159727205743849,,0.995,1.0375,0.152134832126258,,4000,0.0375,0.173290760965457,,4000,0.75,0.177739260652977,,4000,1.0375,0.199451779681553,,0.0375,0.75,0.152628644916838,,0.0375,1.0375,0.152134832123487
,0.75,1.05,0.15255478297459,,0.995,5000,0.255158390539329,,0.995,0.05,0.153328601857119,,0.995,1.0,0.158759934247641,,0.995,1.05,0.152120540701027,,4000,0.05,0.14273467805755,,4000,1.0,0.159169820342683,,4000,1.05,0.177742202689821,,0.0375,1.0,0.152199507027412,,0.0375,1.05,0.152120540700849
,1.0,1.0,0.163214138580521,,1.0,1000,0.218736812888473,,1.0,0.0,0.218736812888473,,1.0,0.0,0.218736812888473,,1.0,1.0,0.218736812888473,,5000,0.0,0.276288066184421,,5000,0.0,0.276288066184421,,5000,1.0,0.276288066184421,,0.05,0.0,0.153328601857154,,0.05,1.0,0.153328601857154
,1.0,1.0125,0.154842682417083,,1.0,2000,0.239369440163713,,1.0,0.0125,0.191128334759064,,1.0,0.25,0.181119340501297,,1.0,1.0125,0.196225900677852,,5000,0.0125,0.23309145664949,,5000,0.25,0.234230347001677,,5000,1.0125,0.238543857560011,,0.05,0.25,0.15350908799202,,0.05,1.0125,0.151637516978901
,1.0,1.025,0.152630610080003,,1.0,3000,0.261860552254007,,1.0,0.025,0.16284293755848,,1.0,0.5,0.166269402290226,,1.0,1.025,0.17576442990989,,5000,0.025,0.204761298444488,,5000,0.5,0.203726935533595,,5000,1.025,0.217169346051683,,0.05,0.5,0.152815727801055,,0.05,1.025,0.151622093971646
,1.0,1.0375,0.152615949975292,,1.0,4000,0.273177151181059,,1.0,0.0375,0.153328601857154,,1.0,0.75,0.164417203669487,,1.0,1.0375,0.152134832123487,,5000,0.0375,0.175328202831103,,5000,0.75,0.180457526350104,,5000,1.0375,0.201381769869684,,0.05,0.75,0.152146175998311,,0.05,1.0375,0.151607248275496
,1.0,1.05,0.152601400469592,,1.0,5000,0.276288066184421,,1.0,0.05,0.153328601857154,,1.0,1.0,0.163214138580521,,1.0,1.05,0.152120540700849,,5000,0.05,0.144942005170869,,5000,1.0,0.161801940254712,,5000,1.05,0.179958110463197,,0.05,1.0,0.152199507027412,,0.05,1.05,0.151592960872598
